After iteration 70: w(A1) = 0.0249, w(A2) = 0.1636, w(A3) = -0.0303, w(A4) = -0.0934, w(A5) = -0.0807, w(A6) = -0.2509, w(A7) = -0.4058, w(A8) = -0.2581, w(A9) = -0.0754, w(A10) = 0.1188, w(A11) = 0.2763, w(A12) = -0.5635, w(A13) = -0.6920, output = 0.2598
After iteration 71: w(A1) = -0.0371, w(A2) = 0.1016, w(A3) = -0.0303, w(A4) = -0.1553, w(A5) = -0.0807, w(A6) = -0.2509, w(A7) = -0.4058, w(A8) = -0.2581, w(A9) = -0.0754, w(A10) = 0.0569, w(A11) = 0.2144, w(A12) = -0.6254, w(A13) = -0.7539, output = 0.2317
After iteration 72: w(A1) = -0.0897, w(A2) = 0.0490, w(A3) = -0.0830, w(A4) = -0.1553, w(A5) = -0.0807, w(A6) = -0.3035, w(A7) = -0.4058, w(A8) = -0.2581, w(A9) = -0.0754, w(A10) = 0.0043, w(A11) = 0.2144, w(A12) = -0.6254, w(A13) = -0.8065, output = 0.2263
After iteration 73: w(A1) = 0.0376, w(A2) = 0.0490, w(A3) = 0.0443, w(A4) = -0.0281, w(A5) = 0.0465, w(A6) = -0.3035, w(A7) = -0.4058, w(A8) = -0.2581, w(A9) = 0.0518, w(A10) = 0.0043, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.6793, output = 0.4538
After iteration 74: w(A1) = -0.0016, w(A2) = 0.0099, w(A3) = 0.0443, w(A4) = -0.0281, w(A5) = 0.0074, w(A6) = -0.3035, w(A7) = -0.4449, w(A8) = -0.2972, w(A9) = 0.0127, w(A10) = 0.0043, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.7184, output = 0.1928
After iteration 75: w(A1) = -0.0298, w(A2) = 0.0099, w(A3) = 0.0160, w(A4) = -0.0281, w(A5) = -0.0209, w(A6) = -0.3318, w(A7) = -0.4731, w(A8) = -0.2972, w(A9) = -0.0156, w(A10) = -0.0240, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.7466, output = 0.1644
After iteration 76: w(A1) = -0.0298, w(A2) = 0.0099, w(A3) = 0.0026, w(A4) = -0.0281, w(A5) = -0.0343, w(A6) = -0.3452, w(A7) = -0.4865, w(A8) = -0.3106, w(A9) = -0.0290, w(A10) = -0.0374, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.7600, output = 0.1192
After iteration 77: w(A1) = -0.0298, w(A2) = 0.0099, w(A3) = -0.0214, w(A4) = -0.0281, w(A5) = -0.0583, w(A6) = -0.3692, w(A7) = -0.4865, w(A8) = -0.3346, w(A9) = -0.0530, w(A10) = -0.0614, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.7840, output = 0.1569
After iteration 78: w(A1) = -0.0508, w(A2) = 0.0099, w(A3) = -0.0214, w(A4) = -0.0491, w(A5) = -0.0793, w(A6) = -0.3902, w(A7) = -0.4865, w(A8) = -0.3556, w(A9) = -0.0530, w(A10) = -0.0614, w(A11) = 0.3416, w(A12) = -0.6254, w(A13) = -0.8051, output = 0.1506
After iteration 79: w(A1) = -0.0657, w(A2) = 0.0099, w(A3) = -0.0362, w(A4) = -0.0639, w(A5) = -0.0941, w(A6) = -0.3902, w(A7) = -0.5014, w(A8) = -0.3556, w(A9) = -0.0678, w(A10) = -0.0614, w(A11) = 0.3268, w(A12) = -0.6403, w(A13) = -0.8199, output = 0.1232
