After iteration 1: w(A1) = -0.1125, w(A2) = -0.1125, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.1125, w(A10) = -0.1125, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.1125, output = 0.3630
After iteration 321: w(A1) = 0.4518, w(A2) = -0.2564, w(A3) = 0.0250, w(A4) = -0.2884, w(A5) = -0.4204, w(A6) = -0.1173, w(A7) = -0.9072, w(A8) = -0.1921, w(A9) = 0.5283, w(A10) = 0.1740, w(A11) = 1.2318, w(A12) = -1.4683, w(A13) = -1.6186, output = 0.1879
After iteration 322: w(A1) = 0.4518, w(A2) = -0.2564, w(A3) = 0.0250, w(A4) = -0.2884, w(A5) = -0.2897, w(A6) = 0.0133, w(A7) = -0.9072, w(A8) = -0.0615, w(A9) = 0.5283, w(A10) = 0.3047, w(A11) = 1.3625, w(A12) = -1.4683, w(A13) = -1.4880, output = 0.4604
After iteration 323: w(A1) = 0.4518, w(A2) = -0.2564, w(A3) = -0.0196, w(A4) = -0.2884, w(A5) = -0.3343, w(A6) = 0.0133, w(A7) = -0.9517, w(A8) = -0.1060, w(A9) = 0.5283, w(A10) = 0.2601, w(A11) = 1.3179, w(A12) = -1.4683, w(A13) = -1.5325, output = 0.2032
After iteration 324: w(A1) = 0.3480, w(A2) = -0.2564, w(A3) = -0.1234, w(A4) = -0.3923, w(A5) = -0.4381, w(A6) = 0.0133, w(A7) = -0.9517, w(A8) = -0.1060, w(A9) = 0.5283, w(A10) = 0.1563, w(A11) = 1.2141, w(A12) = -1.4683, w(A13) = -1.6364, output = 0.2949
After iteration 325: w(A1) = 0.3480, w(A2) = -0.2894, w(A3) = -0.1564, w(A4) = -0.4253, w(A5) = -0.4381, w(A6) = -0.0197, w(A7) = -0.9517, w(A8) = -0.1391, w(A9) = 0.5283, w(A10) = 0.1563, w(A11) = 1.1811, w(A12) = -1.4683, w(A13) = -1.6694, output = 0.1797
After iteration 326: w(A1) = 0.3626, w(A2) = -0.2894, w(A3) = -0.1419, w(A4) = -0.4108, w(A5) = -0.4236, w(A6) = -0.0197, w(A7) = -0.9372, w(A8) = -0.1391, w(A9) = 0.5428, w(A10) = 0.1708, w(A11) = 1.1811, w(A12) = -1.4538, w(A13) = -1.6549, output = 0.0190
After iteration 327: w(A1) = 0.3621, w(A2) = -0.2899, w(A3) = -0.1424, w(A4) = -0.4112, w(A5) = -0.4236, w(A6) = -0.0197, w(A7) = -0.9372, w(A8) = -0.1395, w(A9) = 0.5428, w(A10) = 0.1708, w(A11) = 1.1811, w(A12) = -1.4543, w(A13) = -1.6553, output = 0.0234
After iteration 328: w(A1) = 0.3621, w(A2) = -0.2899, w(A3) = -0.1424, w(A4) = -0.3206, w(A5) = -0.3329, w(A6) = 0.0710, w(A7) = -0.8466, w(A8) = -0.0489, w(A9) = 0.6334, w(A10) = 0.1708, w(A11) = 1.2717, w(A12) = -1.4543, w(A13) = -1.5647, output = 0.2428
After iteration 329: w(A1) = 0.3269, w(A2) = -0.2899, w(A3) = -0.1776, w(A4) = -0.3557, w(A5) = -0.3329, w(A6) = 0.0710, w(A7) = -0.8817, w(A8) = -0.0489, w(A9) = 0.6334, w(A10) = 0.1708, w(A11) = 1.2366, w(A12) = -1.4543, w(A13) = -1.5998, output = 0.1898
After iteration 330: w(A1) = 0.3260, w(A2) = -0.2908, w(A3) = -0.1776, w(A4) = -0.3567, w(A5) = -0.3329, w(A6) = 0.0700, w(A7) = -0.8827, w(A8) = -0.0489, w(A9) = 0.6325, w(A10) = 0.1699, w(A11) = 1.2366, w(A12) = -1.4552, w(A13) = -1.6008, output = 0.0327
After iteration 331: w(A1) = 0.3207, w(A2) = -0.2908, w(A3) = -0.1829, w(A4) = -0.3620, w(A5) = -0.3383, w(A6) = 0.0700, w(A7) = -0.8880, w(A8) = -0.0542, w(A9) = 0.6272, w(A10) = 0.1699, w(A11) = 1.2366, w(A12) = -1.4552, w(A13) = -1.6061, output = 0.0770
After iteration 332: w(A1) = 0.4104, w(A2) = -0.2011, w(A3) = -0.1829, w(A4) = -0.3620, w(A5) = -0.3383, w(A6) = 0.1597, w(A7) = -0.8880, w(A8) = -0.0542, w(A9) = 0.7169, w(A10) = 0.1699, w(A11) = 1.3263, w(A12) = -1.4552, w(A13) = -1.5164, output = 0.7101
After iteration 333: w(A1) = 0.3465, w(A2) = -0.2011, w(A3) = -0.2468, w(A4) = -0.3620, w(A5) = -0.3383, w(A6) = 0.1597, w(A7) = -0.9519, w(A8) = -0.1181, w(A9) = 0.7169, w(A10) = 0.1060, w(A11) = 1.2624, w(A12) = -1.4552, w(A13) = -1.5803, output = 0.2347
After iteration 334: w(A1) = 0.4346, w(A2) = -0.2011, w(A3) = -0.1586, w(A4) = -0.3620, w(A5) = -0.3383, w(A6) = 0.1597, w(A7) = -0.9519, w(A8) = -0.0300, w(A9) = 0.8050, w(A10) = 0.1060, w(A11) = 1.3505, w(A12) = -1.4552, w(A13) = -1.4922, output = 0.7129
After iteration 335: w(A1) = 0.4346, w(A2) = -0.2011, w(A3) = -0.1637, w(A4) = -0.3620, w(A5) = -0.3383, w(A6) = 0.1547, w(A7) = -0.9569, w(A8) = -0.0350, w(A9) = 0.8050, w(A10) = 0.1009, w(A11) = 1.3455, w(A12) = -1.4603, w(A13) = -1.4972, output = 0.0750
After iteration 336: w(A1) = 0.4346, w(A2) = -0.2011, w(A3) = -0.1637, w(A4) = -0.3620, w(A5) = -0.4164, w(A6) = 0.1547, w(A7) = -0.9569, w(A8) = -0.1132, w(A9) = 0.8050, w(A10) = 0.1009, w(A11) = 1.2674, w(A12) = -1.4603, w(A13) = -1.5753, output = 0.3021
After iteration 337: w(A1) = 0.4279, w(A2) = -0.2011, w(A3) = -0.1703, w(A4) = -0.3620, w(A5) = -0.4164, w(A6) = 0.1480, w(A7) = -0.9636, w(A8) = -0.1198, w(A9) = 0.8050, w(A10) = 0.0943, w(A11) = 1.2607, w(A12) = -1.4669, w(A13) = -1.5820, output = 0.0854
After iteration 338: w(A1) = 0.5473, w(A2) = -0.0817, w(A3) = -0.1703, w(A4) = -0.2427, w(A5) = -0.2970, w(A6) = 0.2674, w(A7) = -0.9636, w(A8) = -0.1198, w(A9) = 0.9243, w(A10) = 0.2136, w(A11) = 1.3800, w(A12) = -1.3476, w(A13) = -1.4626, output = 0.4753
After iteration 339: w(A1) = 0.5473, w(A2) = -0.0821, w(A3) = -0.1707, w(A4) = -0.2427, w(A5) = -0.2970, w(A6) = 0.2670, w(A7) = -0.9639, w(A8) = -0.1202, w(A9) = 0.9243, w(A10) = 0.2136, w(A11) = 1.3800, w(A12) = -1.3479, w(A13) = -1.4630, output = 0.0202
After iteration 340: w(A1) = 0.5464, w(A2) = -0.0821, w(A3) = -0.1716, w(A4) = -0.2427, w(A5) = -0.2979, w(A6) = 0.2662, w(A7) = -0.9648, w(A8) = -0.1202, w(A9) = 0.9243, w(A10) = 0.2136, w(A11) = 1.3800, w(A12) = -1.3488, w(A13) = -1.4639, output = 0.0312
After iteration 341: w(A1) = 0.4519, w(A2) = -0.1766, w(A3) = -0.1716, w(A4) = -0.3372, w(A5) = -0.2979, w(A6) = 0.2662, w(A7) = -0.9648, w(A8) = -0.1202, w(A9) = 0.8298, w(A10) = 0.2136, w(A11) = 1.2855, w(A12) = -1.4433, w(A13) = -1.5584, output = 0.2792
After iteration 342: w(A1) = 0.4519, w(A2) = -0.1766, w(A3) = -0.1799, w(A4) = -0.3456, w(A5) = -0.3063, w(A6) = 0.2578, w(A7) = -0.9732, w(A8) = -0.1202, w(A9) = 0.8214, w(A10) = 0.2053, w(A11) = 1.2771, w(A12) = -1.4517, w(A13) = -1.5668, output = 0.0943
After iteration 343: w(A1) = 0.4519, w(A2) = -0.1858, w(A3) = -0.1891, w(A4) = -0.3456, w(A5) = -0.3154, w(A6) = 0.2486, w(A7) = -0.9823, w(A8) = -0.1202, w(A9) = 0.8123, w(A10) = 0.2053, w(A11) = 1.2771, w(A12) = -1.4517, w(A13) = -1.5759, output = 0.1009
After iteration 344: w(A1) = 0.4514, w(A2) = -0.1863, w(A3) = -0.1891, w(A4) = -0.3456, w(A5) = -0.3159, w(A6) = 0.2481, w(A7) = -0.9828, w(A8) = -0.1207, w(A9) = 0.8123, w(A10) = 0.2048, w(A11) = 1.2771, w(A12) = -1.4522, w(A13) = -1.5764, output = 0.0234
After iteration 345: w(A1) = 0.4180, w(A2) = -0.1863, w(A3) = -0.1891, w(A4) = -0.3456, w(A5) = -0.3493, w(A6) = 0.2148, w(A7) = -1.0162, w(A8) = -0.1540, w(A9) = 0.7789, w(A10) = 0.1714, w(A11) = 1.2771, w(A12) = -1.4522, w(A13) = -1.6098, output = 0.1756
After iteration 346: w(A1) = 0.4180, w(A2) = -0.0702, w(A3) = -0.1891, w(A4) = -0.2294, w(A5) = -0.3493, w(A6) = 0.2148, w(A7) = -1.0162, w(A8) = -0.1540, w(A9) = 0.8950, w(A10) = 0.2875, w(A11) = 1.3933, w(A12) = -1.3361, w(A13) = -1.4937, output = 0.3650
After iteration 347: w(A1) = 0.4180, w(A2) = -0.0704, w(A3) = -0.1891, w(A4) = -0.2297, w(A5) = -0.3493, w(A6) = 0.2148, w(A7) = -1.0164, w(A8) = -0.1540, w(A9) = 0.8950, w(A10) = 0.2875, w(A11) = 1.3933, w(A12) = -1.3363, w(A13) = -1.4939, output = 0.0156
After iteration 348: w(A1) = 0.4180, w(A2) = -0.0795, w(A3) = -0.1891, w(A4) = -0.2387, w(A5) = -0.3583, w(A6) = 0.2148, w(A7) = -1.0255, w(A8) = -0.1631, w(A9) = 0.8860, w(A10) = 0.2785, w(A11) = 1.3933, w(A12) = -1.3363, w(A13) = -1.5029, output = 0.0994
After iteration 349: w(A1) = 0.4919, w(A2) = -0.0795, w(A3) = -0.1891, w(A4) = -0.2387, w(A5) = -0.3583, w(A6) = 0.2148, w(A7) = -1.0255, w(A8) = -0.1631, w(A9) = 0.8860, w(A10) = 0.3523, w(A11) = 1.4671, w(A12) = -1.3363, w(A13) = -1.4291, output = 0.7073
After iteration 350: w(A1) = 0.4129, w(A2) = -0.1584, w(A3) = -0.2681, w(A4) = -0.3177, w(A5) = -0.4373, w(A6) = 0.1358, w(A7) = -1.0255, w(A8) = -0.2420, w(A9) = 0.8070, w(A10) = 0.2734, w(A11) = 1.4671, w(A12) = -1.3363, w(A13) = -1.5080, output = 0.2138
After iteration 351: w(A1) = 0.5254, w(A2) = -0.0460, w(A3) = -0.1556, w(A4) = -0.3177, w(A5) = -0.4373, w(A6) = 0.1358, w(A7) = -0.9130, w(A8) = -0.2420, w(A9) = 0.9195, w(A10) = 0.3858, w(A11) = 1.5796, w(A12) = -1.3363, w(A13) = -1.3956, output = 0.7110
After iteration 352: w(A1) = 0.5254, w(A2) = -0.0815, w(A3) = -0.1911, w(A4) = -0.3177, w(A5) = -0.4728, w(A6) = 0.1003, w(A7) = -0.9485, w(A8) = -0.2420, w(A9) = 0.9195, w(A10) = 0.3858, w(A11) = 1.5441, w(A12) = -1.3363, w(A13) = -1.4311, output = 0.1853
After iteration 353: w(A1) = 0.5254, w(A2) = -0.0865, w(A3) = -0.1911, w(A4) = -0.3227, w(A5) = -0.4778, w(A6) = 0.0953, w(A7) = -0.9535, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3858, w(A11) = 1.5441, w(A12) = -1.3363, w(A13) = -1.4361, output = 0.0749
After iteration 354: w(A1) = 0.5254, w(A2) = -0.1415, w(A3) = -0.2461, w(A4) = -0.3777, w(A5) = -0.5328, w(A6) = 0.0403, w(A7) = -0.9535, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3858, w(A11) = 1.4891, w(A12) = -1.3363, w(A13) = -1.4911, output = 0.2210
After iteration 355: w(A1) = 0.5254, w(A2) = -0.1441, w(A3) = -0.2487, w(A4) = -0.3777, w(A5) = -0.5328, w(A6) = 0.0403, w(A7) = -0.9535, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3832, w(A11) = 1.4891, w(A12) = -1.3389, w(A13) = -1.4938, output = 0.0551
After iteration 356: w(A1) = 0.5166, w(A2) = -0.1441, w(A3) = -0.2487, w(A4) = -0.3865, w(A5) = -0.5328, w(A6) = 0.0403, w(A7) = -0.9623, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3832, w(A11) = 1.4803, w(A12) = -1.3477, w(A13) = -1.5025, output = 0.0996
After iteration 357: w(A1) = 0.5150, w(A2) = -0.1441, w(A3) = -0.2504, w(A4) = -0.3881, w(A5) = -0.5345, w(A6) = 0.0386, w(A7) = -0.9640, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3832, w(A11) = 1.4803, w(A12) = -1.3477, w(A13) = -1.5042, output = 0.0436
After iteration 358: w(A1) = 0.4746, w(A2) = -0.1845, w(A3) = -0.2504, w(A4) = -0.3881, w(A5) = -0.5345, w(A6) = 0.0386, w(A7) = -0.9640, w(A8) = -0.2471, w(A9) = 0.9145, w(A10) = 0.3832, w(A11) = 1.4803, w(A12) = -1.3477, w(A13) = -1.5446, output = 0.2219
After iteration 359: w(A1) = 0.4746, w(A2) = -0.1845, w(A3) = -0.2504, w(A4) = -0.4799, w(A5) = -0.5345, w(A6) = -0.0532, w(A7) = -1.0558, w(A8) = -0.3388, w(A9) = 0.8227, w(A10) = 0.2914, w(A11) = 1.3885, w(A12) = -1.3477, w(A13) = -1.6364, output = 0.2570
After iteration 360: w(A1) = 0.4746, w(A2) = -0.1847, w(A3) = -0.2506, w(A4) = -0.4801, w(A5) = -0.5347, w(A6) = -0.0534, w(A7) = -1.0559, w(A8) = -0.3390, w(A9) = 0.8227, w(A10) = 0.2912, w(A11) = 1.3883, w(A12) = -1.3479, w(A13) = -1.6366, output = 0.0147
After iteration 361: w(A1) = 0.4612, w(A2) = -0.1980, w(A3) = -0.2640, w(A4) = -0.4801, w(A5) = -0.5347, w(A6) = -0.0534, w(A7) = -1.0559, w(A8) = -0.3524, w(A9) = 0.8227, w(A10) = 0.2912, w(A11) = 1.3750, w(A12) = -1.3613, w(A13) = -1.6499, output = 0.1203
After iteration 362: w(A1) = 0.4612, w(A2) = -0.1980, w(A3) = -0.1386, w(A4) = -0.4801, w(A5) = -0.4093, w(A6) = -0.0534, w(A7) = -1.0559, w(A8) = -0.2270, w(A9) = 0.8227, w(A10) = 0.4166, w(A11) = 1.5004, w(A12) = -1.3613, w(A13) = -1.5245, output = 0.4055
After iteration 363: w(A1) = 0.4559, w(A2) = -0.2034, w(A3) = -0.1386, w(A4) = -0.4801, w(A5) = -0.4093, w(A6) = -0.0534, w(A7) = -1.0613, w(A8) = -0.2270, w(A9) = 0.8174, w(A10) = 0.4113, w(A11) = 1.5004, w(A12) = -1.3666, w(A13) = -1.5298, output = 0.0775
After iteration 364: w(A1) = 0.4441, w(A2) = -0.2034, w(A3) = -0.1504, w(A4) = -0.4919, w(A5) = -0.4211, w(A6) = -0.0652, w(A7) = -1.0613, w(A8) = -0.2388, w(A9) = 0.8174, w(A10) = 0.3995, w(A11) = 1.5004, w(A12) = -1.3666, w(A13) = -1.5417, output = 0.1125
After iteration 365: w(A1) = 0.4441, w(A2) = -0.1852, w(A3) = -0.1504, w(A4) = -0.4919, w(A5) = -0.4211, w(A6) = -0.0470, w(A7) = -1.0431, w(A8) = -0.2388, w(A9) = 0.8174, w(A10) = 0.4176, w(A11) = 1.5004, w(A12) = -1.3484, w(A13) = -1.5235, output = 0.0234
After iteration 366: w(A1) = 0.4960, w(A2) = -0.1852, w(A3) = -0.1504, w(A4) = -0.4400, w(A5) = -0.4211, w(A6) = -0.0470, w(A7) = -1.0431, w(A8) = -0.1869, w(A9) = 0.8693, w(A10) = 0.4696, w(A11) = 1.5523, w(A12) = -1.3484, w(A13) = -1.4715, output = 0.7840
After iteration 367: w(A1) = 0.6085, w(A2) = -0.0727, w(A3) = -0.1504, w(A4) = -0.3275, w(A5) = -0.3086, w(A6) = -0.0470, w(A7) = -1.0431, w(A8) = -0.1869, w(A9) = 0.8693, w(A10) = 0.5821, w(A11) = 1.6648, w(A12) = -1.3484, w(A13) = -1.3590, output = 0.6873
After iteration 368: w(A1) = 0.5854, w(A2) = -0.0727, w(A3) = -0.1504, w(A4) = -0.3275, w(A5) = -0.3318, w(A6) = -0.0470, w(A7) = -1.0431, w(A8) = -0.1869, w(A9) = 0.8461, w(A10) = 0.5821, w(A11) = 1.6648, w(A12) = -1.3716, w(A13) = -1.3822, output = 0.1606
After iteration 369: w(A1) = 0.6668, w(A2) = 0.0087, w(A3) = -0.1504, w(A4) = -0.2461, w(A5) = -0.3318, w(A6) = 0.0344, w(A7) = -1.0431, w(A8) = -0.1869, w(A9) = 0.9276, w(A10) = 0.6635, w(A11) = 1.7462, w(A12) = -1.2901, w(A13) = -1.3008, output = 0.7703
After iteration 370: w(A1) = 0.5404, w(A2) = 0.0087, w(A3) = -0.2768, w(A4) = -0.2461, w(A5) = -0.4582, w(A6) = -0.0921, w(A7) = -1.0431, w(A8) = -0.1869, w(A9) = 0.8011, w(A10) = 0.6635, w(A11) = 1.6198, w(A12) = -1.4166, w(A13) = -1.4272, output = 0.3297
After iteration 371: w(A1) = 0.4227, w(A2) = -0.1089, w(A3) = -0.2768, w(A4) = -0.2461, w(A5) = -0.5759, w(A6) = -0.0921, w(A7) = -1.0431, w(A8) = -0.3045, w(A9) = 0.8011, w(A10) = 0.6635, w(A11) = 1.5021, w(A12) = -1.4166, w(A13) = -1.5449, output = 0.3522
After iteration 372: w(A1) = 0.4227, w(A2) = -0.1094, w(A3) = -0.2773, w(A4) = -0.2461, w(A5) = -0.5759, w(A6) = -0.0925, w(A7) = -1.0431, w(A8) = -0.3050, w(A9) = 0.8011, w(A10) = 0.6635, w(A11) = 1.5021, w(A12) = -1.4171, w(A13) = -1.5454, output = 0.0231
After iteration 373: w(A1) = 0.4227, w(A2) = -0.1094, w(A3) = -0.2697, w(A4) = -0.2385, w(A5) = -0.5683, w(A6) = -0.0925, w(A7) = -1.0355, w(A8) = -0.2974, w(A9) = 0.8011, w(A10) = 0.6711, w(A11) = 1.5021, w(A12) = -1.4095, w(A13) = -1.5377, output = 0.0091
After iteration 374: w(A1) = 0.2983, w(A2) = -0.2339, w(A3) = -0.2697, w(A4) = -0.2385, w(A5) = -0.5683, w(A6) = -0.0925, w(A7) = -1.0355, w(A8) = -0.2974, w(A9) = 0.6767, w(A10) = 0.5467, w(A11) = 1.5021, w(A12) = -1.4095, w(A13) = -1.6622, output = 0.4075
After iteration 375: w(A1) = 0.2983, w(A2) = -0.2339, w(A3) = -0.2697, w(A4) = -0.2385, w(A5) = -0.5710, w(A6) = -0.0953, w(A7) = -1.0382, w(A8) = -0.2974, w(A9) = 0.6767, w(A10) = 0.5439, w(A11) = 1.5021, w(A12) = -1.4095, w(A13) = -1.6649, output = 0.0560
After iteration 376: w(A1) = 0.2983, w(A2) = -0.2339, w(A3) = -0.2697, w(A4) = -0.2385, w(A5) = -0.4640, w(A6) = 0.0117, w(A7) = -1.0382, w(A8) = -0.1904, w(A9) = 0.7836, w(A10) = 0.6509, w(A11) = 1.6091, w(A12) = -1.4095, w(A13) = -1.5579, output = 0.6991
After iteration 377: w(A1) = 0.3682, w(A2) = -0.2339, w(A3) = -0.2697, w(A4) = -0.1686, w(A5) = -0.4640, w(A6) = 0.0117, w(A7) = -1.0382, w(A8) = -0.1904, w(A9) = 0.7836, w(A10) = 0.7208, w(A11) = 1.6091, w(A12) = -1.3396, w(A13) = -1.4881, output = 0.1293
After iteration 378: w(A1) = 0.3682, w(A2) = -0.2339, w(A3) = -0.1495, w(A4) = -0.1686, w(A5) = -0.4640, w(A6) = 0.0117, w(A7) = -1.0382, w(A8) = -0.1904, w(A9) = 0.7836, w(A10) = 0.7208, w(A11) = 1.7293, w(A12) = -1.3396, w(A13) = -1.3679, output = 0.5528
After iteration 379: w(A1) = 0.2436, w(A2) = -0.2339, w(A3) = -0.1495, w(A4) = -0.1686, w(A5) = -0.5886, w(A6) = -0.1129, w(A7) = -1.0382, w(A8) = -0.3150, w(A9) = 0.6590, w(A10) = 0.5962, w(A11) = 1.6047, w(A12) = -1.4642, w(A13) = -1.4925, output = 0.2953
After iteration 380: w(A1) = 0.2159, w(A2) = -0.2615, w(A3) = -0.1772, w(A4) = -0.1686, w(A5) = -0.5886, w(A6) = -0.1129, w(A7) = -1.0659, w(A8) = -0.3150, w(A9) = 0.6314, w(A10) = 0.5686, w(A11) = 1.6047, w(A12) = -1.4642, w(A13) = -1.5201, output = 0.1668
After iteration 381: w(A1) = 0.2159, w(A2) = -0.2615, w(A3) = -0.1808, w(A4) = -0.1722, w(A5) = -0.5886, w(A6) = -0.1165, w(A7) = -1.0695, w(A8) = -0.3187, w(A9) = 0.6314, w(A10) = 0.5649, w(A11) = 1.6010, w(A12) = -1.4678, w(A13) = -1.5238, output = 0.0640
After iteration 382: w(A1) = 0.2159, w(A2) = -0.2659, w(A3) = -0.1808, w(A4) = -0.1722, w(A5) = -0.5930, w(A6) = -0.1209, w(A7) = -1.0739, w(A8) = -0.3230, w(A9) = 0.6270, w(A10) = 0.5605, w(A11) = 1.5966, w(A12) = -1.4722, w(A13) = -1.5282, output = 0.0696
After iteration 383: w(A1) = 0.1618, w(A2) = -0.2659, w(A3) = -0.1808, w(A4) = -0.2263, w(A5) = -0.6471, w(A6) = -0.1209, w(A7) = -1.0739, w(A8) = -0.3230, w(A9) = 0.5729, w(A10) = 0.5064, w(A11) = 1.5966, w(A12) = -1.4722, w(A13) = -1.5822, output = 0.2289
After iteration 384: w(A1) = 0.1618, w(A2) = -0.1570, w(A3) = -0.1808, w(A4) = -0.1174, w(A5) = -0.5382, w(A6) = -0.1209, w(A7) = -1.0739, w(A8) = -0.3230, w(A9) = 0.6818, w(A10) = 0.6153, w(A11) = 1.7055, w(A12) = -1.3633, w(A13) = -1.4734, output = 0.3437
After iteration 385: w(A1) = 0.1126, w(A2) = -0.1570, w(A3) = -0.2300, w(A4) = -0.1666, w(A5) = -0.5874, w(A6) = -0.1701, w(A7) = -1.0739, w(A8) = -0.3230, w(A9) = 0.6326, w(A10) = 0.5661, w(A11) = 1.7055, w(A12) = -1.3633, w(A13) = -1.5226, output = 0.2034
After iteration 386: w(A1) = 0.1126, w(A2) = -0.1570, w(A3) = -0.0977, w(A4) = -0.0343, w(A5) = -0.4551, w(A6) = -0.0378, w(A7) = -0.9416, w(A8) = -0.3230, w(A9) = 0.7649, w(A10) = 0.6984, w(A11) = 1.8378, w(A12) = -1.3633, w(A13) = -1.3903, output = 0.5852
After iteration 387: w(A1) = 0.1126, w(A2) = -0.0795, w(A3) = -0.0202, w(A4) = 0.0432, w(A5) = -0.4551, w(A6) = -0.0378, w(A7) = -0.9416, w(A8) = -0.2455, w(A9) = 0.7649, w(A10) = 0.7759, w(A11) = 1.9153, w(A12) = -1.3633, w(A13) = -1.3128, output = 0.7458
After iteration 388: w(A1) = 0.0635, w(A2) = -0.1286, w(A3) = -0.0693, w(A4) = -0.0059, w(A5) = -0.5042, w(A6) = -0.0869, w(A7) = -0.9416, w(A8) = -0.2455, w(A9) = 0.7649, w(A10) = 0.7268, w(A11) = 1.9153, w(A12) = -1.3633, w(A13) = -1.3619, output = 0.2032
After iteration 389: w(A1) = -0.0244, w(A2) = -0.1286, w(A3) = -0.1572, w(A4) = -0.0059, w(A5) = -0.5042, w(A6) = -0.1749, w(A7) = -0.9416, w(A8) = -0.3335, w(A9) = 0.6770, w(A10) = 0.7268, w(A11) = 1.8274, w(A12) = -1.4513, w(A13) = -1.4498, output = 0.2522
After iteration 390: w(A1) = -0.0244, w(A2) = -0.1286, w(A3) = -0.1687, w(A4) = -0.0174, w(A5) = -0.5157, w(A6) = -0.1749, w(A7) = -0.9531, w(A8) = -0.3449, w(A9) = 0.6655, w(A10) = 0.7153, w(A11) = 1.8274, w(A12) = -1.4513, w(A13) = -1.4613, output = 0.1110
After iteration 391: w(A1) = -0.0244, w(A2) = -0.1286, w(A3) = -0.1744, w(A4) = -0.0230, w(A5) = -0.5157, w(A6) = -0.1805, w(A7) = -0.9587, w(A8) = -0.3506, w(A9) = 0.6655, w(A10) = 0.7097, w(A11) = 1.8274, w(A12) = -1.4513, w(A13) = -1.4669, output = 0.0798
After iteration 392: w(A1) = -0.0244, w(A2) = -0.1286, w(A3) = -0.1744, w(A4) = -0.0230, w(A5) = -0.5157, w(A6) = -0.1918, w(A7) = -0.9587, w(A8) = -0.3619, w(A9) = 0.6655, w(A10) = 0.7097, w(A11) = 1.8274, w(A12) = -1.4513, w(A13) = -1.4782, output = 0.1159
After iteration 393: w(A1) = -0.0244, w(A2) = -0.1936, w(A3) = -0.2394, w(A4) = -0.0230, w(A5) = -0.5807, w(A6) = -0.1918, w(A7) = -1.0237, w(A8) = -0.3619, w(A9) = 0.6655, w(A10) = 0.6447, w(A11) = 1.7624, w(A12) = -1.4513, w(A13) = -1.5432, output = 0.2362
After iteration 394: w(A1) = -0.0277, w(A2) = -0.1969, w(A3) = -0.2426, w(A4) = -0.0230, w(A5) = -0.5807, w(A6) = -0.1918, w(A7) = -1.0270, w(A8) = -0.3619, w(A9) = 0.6655, w(A10) = 0.6447, w(A11) = 1.7591, w(A12) = -1.4545, w(A13) = -1.5465, output = 0.0609
After iteration 395: w(A1) = -0.0277, w(A2) = -0.2099, w(A3) = -0.2426, w(A4) = -0.0361, w(A5) = -0.5807, w(A6) = -0.1918, w(A7) = -1.0270, w(A8) = -0.3619, w(A9) = 0.6525, w(A10) = 0.6317, w(A11) = 1.7591, w(A12) = -1.4676, w(A13) = -1.5595, output = 0.1204
After iteration 396: w(A1) = -0.0278, w(A2) = -0.2100, w(A3) = -0.2426, w(A4) = -0.0361, w(A5) = -0.5807, w(A6) = -0.1918, w(A7) = -1.0271, w(A8) = -0.3619, w(A9) = 0.6525, w(A10) = 0.6317, w(A11) = 1.7591, w(A12) = -1.4677, w(A13) = -1.5597, output = 0.0135
After iteration 397: w(A1) = -0.0278, w(A2) = -0.2100, w(A3) = -0.2426, w(A4) = -0.0403, w(A5) = -0.5849, w(A6) = -0.1918, w(A7) = -1.0314, w(A8) = -0.3619, w(A9) = 0.6525, w(A10) = 0.6275, w(A11) = 1.7591, w(A12) = -1.4677, w(A13) = -1.5639, output = 0.0696
After iteration 398: w(A1) = 0.0489, w(A2) = -0.1333, w(A3) = -0.2426, w(A4) = 0.0365, w(A5) = -0.5849, w(A6) = -0.1918, w(A7) = -1.0314, w(A8) = -0.3619, w(A9) = 0.6525, w(A10) = 0.7042, w(A11) = 1.8359, w(A12) = -1.4677, w(A13) = -1.4871, output = 0.7321
After iteration 399: w(A1) = 0.1099, w(A2) = -0.0723, w(A3) = -0.1817, w(A4) = 0.0974, w(A5) = -0.5849, w(A6) = -0.1309, w(A7) = -1.0314, w(A8) = -0.3010, w(A9) = 0.7134, w(A10) = 0.7652, w(A11) = 1.8359, w(A12) = -1.4068, w(A13) = -1.4262, output = 0.1379
After iteration 400: w(A1) = 0.1099, w(A2) = -0.0723, w(A3) = -0.1817, w(A4) = 0.0473, w(A5) = -0.5849, w(A6) = -0.1810, w(A7) = -1.0815, w(A8) = -0.3511, w(A9) = 0.7134, w(A10) = 0.7652, w(A11) = 1.7858, w(A12) = -1.4068, w(A13) = -1.4763, output = 0.2215

Accuracy on training set (400 instances): 80.2%

Accuracy on test set (100 instances): 77.0%
